Date,China (SSE Composite Index),France (CAC 40),UK (FTSE 100),Germany (DAX),US (S&P 500),Canada (S&P/TSX Composite),Korea (KOSPI),Japan (Nikkei 225),India (Nifty 50)
2018-01-04,3365.294921875,5360.009765625,7671.10009765625,13062.669921875,2719.070068359375,16344.900390625,2466.449951171875,23065.19921875,10441.4501953125
2018-01-05,3380.2451171875,5422.77978515625,7689.7998046875,13219.1103515625,2727.919921875,16309.900390625,2475.510009765625,23520.51953125,10520.099609375
2018-01-09,3403.5869140625,5491.91015625,7696.5,13361.2197265625,2747.860107421875,16309.7998046875,2498.409912109375,23789.029296875,10603.599609375
2018-01-10,3398.842041015625,5487.56005859375,7716.2001953125,13227.5703125,2736.06005859375,16229.2998046875,2493.97998046875,23755.44921875,10592.7001953125
2018-01-11,3405.638916015625,5478.97021484375,7734.60009765625,13151.83984375,2752.780029296875,16244.900390625,2483.820068359375,23601.83984375,10612.349609375
2018-01-12,3417.97998046875,5486.08984375,7752.60009765625,13168.009765625,2769.639892578125,16278.099609375,2482.14990234375,23588.0703125,10597.099609375
2018-01-16,3401.9609375,5500.22021484375,7740.60009765625,13196.5595703125,2768.639892578125,16270.900390625,2498.550048828125,23701.830078125,10687.849609375
2018-01-17,3430.510986328125,5485.02001953125,7711.10009765625,13137.509765625,2778.3798828125,16277.599609375,2506.489990234375,23739.169921875,10666.75
2018-01-18,3448.7890625,5474.10986328125,7683.7001953125,13201.33984375,2792.56005859375,16270.599609375,2512.68994140625,23699.470703125,10782.400390625
2018-01-19,3474.2919921875,5490.31982421875,7694.7001953125,13294.8095703125,2798.080078125,16288.400390625,2513.090087890625,23735.609375,10793.900390625
2018-01-22,3475.673095703125,5512.27001953125,7703.7001953125,13410.9599609375,2808.1201171875,16303.400390625,2488.43994140625,23697.810546875,10881.400390625
2018-01-23,3504.343994140625,5521.830078125,7710.0,13517.8095703125,2830.590087890625,16252.400390625,2507.9599609375,23916.01953125,10994.5498046875
2018-01-24,3527.112060546875,5495.16015625,7643.39990234375,13414.740234375,2824.81005859375,16238.400390625,2531.31005859375,23917.140625,11046.150390625
