Date,China (SSE Composite Index),France (CAC 40),UK (FTSE 100),Germany (DAX),US (S&P 500),Canada (S&P/TSX Composite),Korea (KOSPI),Japan (Nikkei 225),India (Nifty 50)
2018-01-04,3371.0,5360.009765625,7671.10009765625,13065.98046875,2719.31005859375,16385.400390625,2502.5,23073.73046875,10469.400390625
2018-01-05,3386.464111328125,5424.16015625,7695.89990234375,13219.1103515625,2731.330078125,16362.599609375,2476.85009765625,23643.0,10534.25
2018-01-09,3406.112060546875,5491.91015625,7696.5,13383.259765625,2751.14990234375,16351.400390625,2510.72998046875,23948.970703125,10645.099609375
2018-01-10,3414.113037109375,5518.31982421875,7731.0,13355.2802734375,2745.550048828125,16314.2001953125,2516.330078125,23832.810546875,10652.0498046875
2018-01-11,3415.5849609375,5514.08984375,7748.5,13281.2001953125,2752.969970703125,16276.2001953125,2496.860107421875,23656.390625,10637.0498046875
2018-01-12,3423.87890625,5502.6298828125,7762.89990234375,13241.2802734375,2770.179931640625,16296.099609375,2499.8701171875,23719.66015625,10682.5498046875
2018-01-16,3403.468994140625,5513.7001953125,7769.10009765625,13228.599609375,2798.9599609375,16368.599609375,2504.159912109375,23721.169921875,10761.5
2018-01-17,3438.575927734375,5496.259765625,7755.89990234375,13200.919921875,2784.989990234375,16320.7998046875,2517.18994140625,23783.419921875,10702.4501953125
2018-01-18,3449.881103515625,5511.2998046875,7725.39990234375,13250.25,2802.39990234375,16339.7998046875,2527.669921875,24078.9296875,10873.400390625
2018-01-19,3481.6201171875,5493.990234375,7701.0,13297.740234375,2802.60009765625,16311.2998046875,2519.669921875,23854.109375,10829.2001953125
2018-01-22,3476.993896484375,5520.2099609375,7730.7998046875,13435.1396484375,2809.159912109375,16348.900390625,2516.89990234375,23797.83984375,10883.2001953125
2018-01-23,3504.343994140625,5563.56005859375,7715.39990234375,13577.1396484375,2835.050048828125,16342.0,2510.35009765625,23924.400390625,10997.400390625
2018-01-24,3553.47900390625,5532.85009765625,7731.7998046875,13572.7099609375,2845.419921875,16360.7998046875,2533.860107421875,24026.4296875,11069.349609375
2018-01-25,3555.16796875,5493.81005859375,7643.39990234375,13374.3798828125,2846.239990234375,16309.400390625,2536.9599609375,23750.650390625,11095.599609375
2018-01-29,3563.639892578125,5534.14013671875,7665.5,13358.900390625,2867.22998046875,16195.7001953125,2588.8701171875,23707.140625,11079.349609375
2018-01-30,3511.5009765625,5493.93017578125,7671.5,13223.9697265625,2832.739990234375,16030.2001953125,2590.409912109375,23559.330078125,11120.849609375
2018-01-31,3470.509033203125,5483.509765625,7588.0,13210.759765625,2832.409912109375,15956.099609375,2557.3701171875,23205.23046875,11018.7998046875
2018-02-01,3478.669921875,5510.58984375,7533.60009765625,13235.150390625,2816.449951171875,15920.0,2578.909912109375,23276.099609375,11044.5498046875
