Date,China (SSE Composite Index),France (CAC 40),UK (FTSE 100),Germany (DAX),US (S&P 500),Canada (S&P/TSX Composite),Korea (KOSPI),Japan (Nikkei 225),India (Nifty 50)
2018-01-04,207000.0,92583500.0,705864000.0,101199400.0,3697340000.0,195975200.0,333800.0,102200000.0,174900.0
2018-01-05,213100.0,76275800.0,636035700.0,112555000.0,3239280000.0,160313100.0,308800.0,101900000.0,180900.0
2018-01-09,191500.0,78844900.0,709674500.0,94770400.0,3467460000.0,236911700.0,374300.0,94100000.0,205000.0
2018-01-10,209100.0,96478300.0,861758600.0,120334900.0,3579900000.0,243953300.0,444000.0,88800000.0,176400.0
2018-01-11,173800.0,83544400.0,982791800.0,110577300.0,3645690000.0,231161200.0,444300.0,83700000.0,153800.0
2018-01-12,174100.0,80659900.0,1133867000.0,87893300.0,3587220000.0,242891100.0,438800.0,93700000.0,175200.0
2018-01-16,211500.0,69422000.0,824367900.0,85801600.0,4362880000.0,246627400.0,341600.0,68500000.0,211000.0
2018-01-17,261000.0,72741600.0,822508200.0,88144100.0,3790340000.0,221463200.0,336700.0,82200000.0,252700.0
2018-01-18,220000.0,82084500.0,765527900.0,89644100.0,3703300000.0,212308100.0,333100.0,99400000.0,312000.0
2018-01-19,247500.0,78466200.0,795594100.0,108147200.0,3724230000.0,201143600.0,351800.0,71800000.0,207600.0
2018-01-22,217500.0,77421200.0,730171300.0,95295700.0,3489480000.0,205285200.0,343000.0,65200000.0,231600.0
2018-01-23,238700.0,85807600.0,742420200.0,97239000.0,3541140000.0,234085600.0,370000.0,73400000.0,284600.0
2018-01-24,253000.0,85219400.0,746643300.0,105385100.0,4079270000.0,245792400.0,371100.0,79900000.0,283400.0
2018-01-25,243400.0,84803300.0,713251600.0,106119200.0,3873100000.0,234944000.0,514600.0,81500000.0,330300.0
2018-01-29,236000.0,60112400.0,612924000.0,78822500.0,3587420000.0,200161400.0,437500.0,68800000.0,241700.0
2018-01-30,186400.0,80083100.0,798999000.0,115152700.0,4012070000.0,227045000.0,397000.0,88800000.0,228000.0
2018-01-31,207300.0,83562500.0,880751700.0,111852500.0,4276270000.0,249790300.0,403100.0,99800000.0,245900.0
2018-02-01,260500.0,87026200.0,872509100.0,122880100.0,3977380000.0,224854400.0,595100.0,101800000.0,306200.0
2018-02-02,208100.0,99312300.0,871574000.0,140869300.0,4340220000.0,233251100.0,481800.0,98600000.0,282700.0
2018-02-05,217700.0,96711900.0,888994600.0,113937900.0,5310840000.0,264583100.0,442400.0,107600000.0,240100.0
2018-02-06,280600.0,175358700.0,1354591000.0,204856800.0,5917350000.0,289213400.0,582800.0,190100000.0,266500.0
2018-02-07,260900.0,117755000.0,1027400300.0,153471100.0,4646300000.0,243344100.0,460100.0,143500000.0,250400.0
2018-02-08,201300.0,123977500.0,973611300.0,153991900.0,5333840000.0,256435100.0,362400.0,104700000.0,232200.0
2018-02-09,256400.0,143039900.0,927291900.0,175812900.0,5690110000.0,290429600.0,489100.0,127600000.0,191600.0
2018-02-14,100300.0,109723700.0,940537000.0,130713000.0,4011940000.0,286177400.0,305700.0,103900000.0,229200.0
2018-02-22,138700.0,87528200.0,926221400.0,104173000.0,3720620000.0,208979300.0,349500.0,77300000.0,313600.0
